year,Loss,tmin6
1961,227.5348267,14.19261597
1989,413.0834651,15.15738961
1960,291.8086349,14.67547523
1971,167.4995992,18.14557805
2013,253.9225725,16.1038788
2005,259.5250472,17.51031441
2018,183.4684515,18.02309704
1988,436.0330708,16.24598684
1934,540.0202823,19.59191496
1983,438.2637958,16.25837743
1968,353.8229665,17.20646557
1986,375.37994,18.6252142
1991,380.6185616,18.83654817
1984,347.8826442,19.04637979
1965,343.9310563,17.11590107
1982,336.3148822,15.31371998
1926,342.5255685,15.18835363
1971,376.7599496,18.4801302
1943,387.5383615,19.2665159
1998,385.2102193,18.30528447
2003,373.0345791,15.18254545
2011,418.1779705,19.05175152
2004,306.6258639,16.56473799
1952,271.0753525,19.0187709
1946,251.4529338,16.89979482
1931,272.6944877,17.56092723
1977,253.9295093,16.14947171
1967,228.8124676,16.90268544
1983,377.6600184,16.32921621
1986,231.6352519,17.60109245
1961,259.8361953,14.69531427
1930,318.0863027,15.02077001
1987,261.9099317,18.10991618
1957,300.2114354,17.51150505
1933,391.8532364,17.86160122
1948,228.9829804,15.91571928
1975,261.9194173,16.69128146
1941,245.1653435,17.20745485
2002,304.3569715,18.54853585
1998,271.8713239,17.66024339
1992,233.3103458,14.92013316
2012,407.3112829,16.13200607
2008,257.0038692,17.8528822
1948,219.8529609,15.78676985
1970,236.9477686,16.03725608
1980,226.6563851,14.9337426
1958,226.0806557,14.73021157
1966,234.9262675,14.80285561
1947,246.9008091,15.94633716
2001,225.7704636,15.22392251
1992,217.9836134,13.73669053
2000,222.4947071,15.44400808
2008,221.7269289,17.44213711
1981,174.2551872,17.30549733
1939,156.5761692,17.5985364
1970,261.5224802,15.97481837
1944,265.922855,17.9775157
1942,227.4359441,17.08124811
1936,398.380694,14.55011172
1986,168.3623578,16.97536872
1962,194.3913964,16.11469225
1988,334.8785903,15.40533663
2002,284.9356064,17.9487652
1994,180.1809674,17.27048353
2001,211.7003971,15.28059444
1992,170.8073887,14.21955823
2006,231.2239326,16.0405112
2005,229.4921232,17.26482477
2018,189.5961118,18.6982573
1939,220.8933269,15.37005887
1935,276.9539523,12.52908752
1961,256.6576629,13.43862109
1964,228.8266268,14.31312622
1926,263.4305032,11.03943336
1982,220.486294,10.95744496
2011,252.1752018,15.66466532
2010,241.8404192,15.81248048
2007,220.5016036,15.07449258
2018,249.1423106,16.24752569
2004,216.2420602,14.03709707
2006,233.1121908,13.91848639
1991,246.7577856,17.22029974
1958,201.6063617,13.35627195
1933,333.955669,17.82190312
1929,217.2387971,13.85103991
1932,144.4433504,16.18136575
1992,216.2693578,13.05685015
2006,224.3301987,15.27029796
1946,417.9094699,17.5404316
1982,415.0308225,15.30416082
1947,543.8037651,17.6008437
1954,604.3300406,18.46245223
1935,451.9662153,15.87788144
1949,458.5136857,18.51581033
1937,439.5246578,17.73669817
1991,513.2528925,19.08323493
2000,439.8008195,17.10738504
2018,445.4003404,20.07110666
1927,164.7348144,13.52441671
1931,188.4534392,17.07631781
1944,280.789792,17.84403706
1962,170.979218,15.89648825
1956,195.083761,16.25707163
1983,281.6564387,15.94944852
1945,238.7485806,14.56240215
1951,240.6600475,15.05593521
1982,186.5509056,13.4262891
1946,207.0508685,15.89491727
1994,166.0362765,16.89576194
2003,196.1963108,13.48812861
2008,230.597156,17.14106491
2007,202.1649664,16.24533579
2017,198.3489744,16.31302324
1970,313.4451122,16.1405032
1976,307.8810955,15.40720577
1959,306.3028792,17.03868152
1935,305.9685272,15.03095681
1974,306.7737112,14.05486513
2010,308.2907472,18.99217135
1963,211.7292498,14.76887488
1946,214.4797357,14.88094043
1961,229.0448493,14.18112116
1949,249.0768168,17.42441628
1991,319.9961838,16.74408977
1942,127.1387607,16.1909584
1950,274.6675915,14.9098347
1984,212.0815988,16.36991406
1999,233.9488915,15.93514677
2001,212.8924464,14.45733798
1998,211.4235001,15.77824205
2004,178.7640966,15.31785681
2016,192.0227694,16.68022073
1974,452.9029364,15.04932897
1941,438.4681593,17.41351258
1948,406.9967654,16.69748055
1943,402.7573754,19.23483781
1980,474.6420701,16.43357816
1931,433.7538408,18.09382913
1988,457.116799,15.5112292
1998,430.0738281,18.40211494
2000,402.6358178,16.6271383
2018,410.9627251,19.87286332
2011,451.3175571,19.19526318
2010,427.8393539,20.75926904
1944,551.5241219,18.60904342
1929,389.19218,15.32093632
1946,375.086675,16.75539503
1987,349.5662663,17.87698314
1932,334.8587333,17.26707551
1941,409.9578508,17.38683301
1947,426.5322004,16.81246918
1998,412.9295814,18.24325418
1955,274.110415,14.03593942
1925,153.8602799,16.15519796
1961,227.3942027,14.84060356
1979,188.1657579,15.6143611
1937,178.0757343,15.90929198
1935,259.2489612,14.2738934
1980,225.1320256,14.90120539
1992,220.7491449,13.86775039
1996,238.8874575,16.21738075
2015,236.7796752,15.78372897
2013,247.7006905,16.12612909
2018,201.2270661,18.04946059
2010,268.6793544,17.72667255
1954,430.3352046,19.23257032
1944,344.0675019,19.24752446
1955,349.8762614,15.45855875
1967,323.2937053,17.48696093
1982,331.2626534,15.29338764
1928,322.5365938,15.31845137
2012,392.1924205,16.65854849
2004,331.5753383,16.86130092
1966,339.5925977,14.93504965
1987,316.7584397,18.44097629
1973,369.941785,17.74165303
